"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 29 12:41:35 UTC 2025","Wed Oct 29 12:41:43 UTC 2025","7640","Blog Agibank Automation Suite","Stories Pagination Test","br.com.agibank.tests.StoriesPaginationTest","br.com.agibank.tests.StoriesPaginationTest","testStoriesPagination","testStoriesPagination","Valida navegação para Stories, paginação infinita e mudança de URL"
"passed","Wed Oct 29 12:41:43 UTC 2025","Wed Oct 29 12:41:49 UTC 2025","5858","Blog Agibank Automation Suite","Product Search Test","br.com.agibank.tests.ProductSearchTest","br.com.agibank.tests.ProductSearchTest","testProductSearch","testProductSearch","Valida busca de produtos através do menu e campo de pesquisa"
